Fecha,Hora,Sector,Mp10,Mp2_5,Humedad,Temperatura
01-06-2019,2:39:24,centro,,,93.5,11.2
01-06-2019,2:40:58,santa rosa,34,25,,
01-06-2019,2:41:56,universidad,12,11,93.8,12.5
01-06-2019,2:42:48,pueblo nuevo,,,81.2,11.5
01-06-2019,2:42:59,pueblo nuevo,14,10,,
01-06-2019,2:43:11,pueblo nuevo,10,10,,
01-06-2019,2:43:23,santa rosa,,,95.5,10.8
01-06-2019,2:43:35,santa rosa,27,25,,
01-06-2019,2:44:17,pedro valdivia,,,98.2,11.9
01-06-2019,2:46:04,amanecer,,,90.4,12.0
01-06-2019,2:46:15,amanecer,13,13,,
01-06-2019,2:46:16,amanecer,18,17,,
01-06-2019,2:49:24,centro,,,94.8,11.3
01-06-2019,2:50:58,santa rosa,28,21,,
01-06-2019,2:52:48,pueblo nuevo,,,81.3,11.6
01-06-2019,2:52:59,pueblo nuevo,11,10,,
01-06-2019,2:53:00,universidad,9,8,93.9,12.5
01-06-2019,2:53:11,pueblo nuevo,12,12,,
01-06-2019,2:53:23,santa rosa,,,95.6,10.8
01-06-2019,2:53:35,santa rosa,25,24,,
01-06-2019,2:54:17,pedro valdivia,,,98.2,11.9
01-06-2019,2:56:04,amanecer,,,90.8,12.0
01-06-2019,2:56:15,amanecer,14,14,,
01-06-2019,2:56:16,amanecer,21,20,,
01-06-2019,2:59:24,centro,,,95.0,11.3
01-06-2019,3:00:57,santa rosa,33,26,,
01-06-2019,3:02:48,pueblo nuevo,,,81.3,11.7
01-06-2019,3:02:59,pueblo nuevo,15,13,,
01-06-2019,3:03:11,pueblo nuevo,15,15,,
01-06-2019,3:03:23,santa rosa,,,95.6,10.8
01-06-2019,3:03:35,santa rosa,27,25,,
01-06-2019,3:04:04,universidad,10,9,93.5,12.6
01-06-2019,3:04:17,pedro valdivia,,,97.7,11.9
01-06-2019,3:06:03,amanecer,,,90.6,12.0
01-06-2019,3:06:15,amanecer,18,18,,
01-06-2019,3:06:16,amanecer,21,20,,
01-06-2019,3:09:24,centro,,,94.9,11.3
01-06-2019,3:10:57,santa rosa,42,32,,
01-06-2019,3:12:48,pueblo nuevo,,,81.3,11.7
01-06-2019,3:12:59,pueblo nuevo,16,15,,
01-06-2019,3:13:11,pueblo nuevo,18,16,,
01-06-2019,3:13:23,santa rosa,,,95.7,10.8
01-06-2019,3:13:35,santa rosa,30,28,,
01-06-2019,3:14:17,pedro valdivia,,,97.7,11.8
01-06-2019,3:15:10,universidad,8,7,9.320.001,12.5
01-06-2019,3:16:03,amanecer,,,90.5,11.9
01-06-2019,3:16:15,amanecer,19,18,,
01-06-2019,3:16:16,amanecer,24,23,,
01-06-2019,3:19:24,centro,,,95.3,11.3
01-06-2019,3:20:57,santa rosa,33,26,,
01-06-2019,3:22:48,pueblo nuevo,,,81.1,11.7
01-06-2019,3:22:59,pueblo nuevo,10,7,,
01-06-2019,3:23:11,pueblo nuevo,17,15,,
01-06-2019,3:23:23,santa rosa,,,95.8,10.9
01-06-2019,3:23:35,santa rosa,24,23,,
01-06-2019,3:24:17,pedro valdivia,,,98.2,11.5
01-06-2019,3:26:03,amanecer,,,90.5,11.9
01-06-2019,3:26:15,amanecer,15,15,,
01-06-2019,3:26:16,amanecer,20,19,,
01-06-2019,3:26:29,universidad,11,10,9.370.001,12.5
01-06-2019,3:29:24,centro,,,95.3,11.3
01-06-2019,3:30:57,santa rosa,34,26,,
01-06-2019,3:32:48,pueblo nuevo,,,81.2,11.8
01-06-2019,3:32:59,pueblo nuevo,14,11,,
01-06-2019,3:33:11,pueblo nuevo,15,14,,
01-06-2019,3:33:23,santa rosa,,,95.7,10.9
01-06-2019,3:33:35,santa rosa,25,24,,
01-06-2019,3:34:17,pedro valdivia,,,98.2,11.5
01-06-2019,3:36:03,amanecer,,,90.1,12.0
01-06-2019,3:36:15,amanecer,21,21,,
01-06-2019,3:36:15,amanecer,30,28,,
01-06-2019,3:37:30,universidad,11,10,94.7,12.1
01-06-2019,3:39:24,centro,,,95.3,11.3
01-06-2019,3:40:57,santa rosa,25,20,,
01-06-2019,3:42:48,pueblo nuevo,,,81.6,11.8
01-06-2019,3:42:59,pueblo nuevo,19,14,,
01-06-2019,3:43:11,pueblo nuevo,21,19,,
01-06-2019,3:43:23,santa rosa,,,95.7,11.1
01-06-2019,3:43:35,santa rosa,24,23,,
01-06-2019,3:44:17,pedro valdivia,,,98.3,11.4
01-06-2019,3:46:03,amanecer,,,90.6,11.7
01-06-2019,3:46:15,amanecer,24,23,,
01-06-2019,3:46:15,amanecer,34,32,,
01-06-2019,3:48:35,universidad,8,7,95.1,11.9
01-06-2019,3:49:24,centro,,,95.4,11.4
01-06-2019,3:50:57,santa rosa,29,22,,
01-06-2019,3:52:48,pueblo nuevo,,,81.8,11.8
01-06-2019,3:52:59,pueblo nuevo,14,11,,
01-06-2019,3:53:11,pueblo nuevo,16,16,,
01-06-2019,3:53:23,santa rosa,,,95.7,11.0
01-06-2019,3:53:35,santa rosa,27,25,,
01-06-2019,3:54:17,pedro valdivia,,,98.0,11.5
01-06-2019,3:56:03,amanecer,,,91.0,11.6
